'World Cup starts today !!!!!! Amazing !!!',124244,68.79909704771276,6449317.600000001,0.019264673831538393
'@LouisTWeLoveYou Happy Birthday :) X',20642,53.687324825457374,5032720.249999999,0.004101559191572391
'We will never forget this weekend ! Thank you so much for making it happen. Eternally grateful !!',92000,282.320350806647,26465080.00000001,0.0034762789305756853
'@laurenxwatson happy birthday :) xx',18032,45.03486428890071,4221627.250000001,0.00427133873555511
"""Another amazing show tonight ! Literally can't put into words the sense of pride when we walk out to a wembley crowd !! All thanks to you !""",86946,334.8876685817147,31392809.319999974,0.002769615140643299
'New @5SOS video just come on the telly ! Soooo proud of you boys !! Well done!',102986,283.4214213820916,26568295.800000004,0.0038762742170312626
'Crowd were amazing tonight !!!',96613,149.45105576364065,14009737.999999998,0.0068961318191674975
'Thank you for your kind words and honesty! @jamesjammcmahon',64056,393.01703099460246,36841932.000000015,0.001738671033864347
'Great show tonight  great crowd ! Happy days !!',90621,151.70253146757977,14220794.285714284,0.006372428865737459
'Massive love to all our fans!! So incredibly supportive! Loveeeee',157495,256.2135313477701,24017792.499999966,0.006557430288399745
'Gigs have been great so far. Really looking forward to Manchester tomorrow !! Big love !',86068,234.43971383235862,21976686.28571427,0.0039163320111616495
'You and I is out Sunday !!! http://t.co/0atRr2jlra',57904,200.71360768192125,18815156.857142862,0.0030775188556569333
'Massive happy birthday to @ozzy_goldman19 ! Have a great day mate !',50492,304.3390890011225,28529145.399999965,0.0017698392045069832
'South America was amazing !! Sooooo good ! Thank you to everyone !!',135871,404.61537734218507,37929176.19999997,0.003582229133676784
'Shows have been great !!',117225,194.6874587302108,18250257.750000004,0.006423196954574517
'Gutted for Donny :(',77591,368.1887638037947,34514497.66666667,0.002248069803864932
'Loving the tour so far !!',136946,388.7618739797299,36443047.99999999,0.003757808622374287
'You can now pre-order You &amp; I. Thank you to everyone who has ! http://t.co/YR7jMXDxfc',59525,338.3559058266099,31717926.42857141,0.0018766989744443087
'RT @EdenDoraTrust: @lizzy_oldershaw So proud So excited Raising awareness every step! :)',9541,53.31270513774621,4997602.909090909,0.001909115264569021
'RT @lizzy_oldershaw: Finished! Mouth full of jelly babies... @EdenDoraTrust @plymouthhalf #takethatencephalitis #proud #edendoratrust http:\xe2\x80\xa6',9094,59.099486208982604,5540063.357142857,0.0016414974728177103
'Gutted :( Reading have been poor! Surely we deserve a bit of luck now !!',71565,179.72773817888583,16847913.923076924,0.00424770688684348
'Get the fuck in. Come on Donny huge huge game ! 1-0 !!!',66466,227.5653990384788,21332278.999999993,0.003115747736095146
'Support the inspirational #StephensStory and donate to @TeenageCancer by texting STEPHEN to 70500 to donate \xc2\xa35 http://t.co/lnVbLEET06',51646,379.7626846432895,35599452.18749991,0.0014507526612483812
'@Ashton5SOS mate you legend ! This was always my fav album growing up!',57595,192.83035595587717,18076170.500000015,0.0031862390322109405
'Come on Rovers !! Huge game today ! Wherever you are keep your fingers crossed for Donny !!',62512,256.73894644080315,24067045.600000013,0.002597410626919657
'Did I really just hear the radio remix a Blue song with Biggie !?',58056,229.84990121707776,21546431.230769224,0.0026944601348688106
'What a great day !',108573,364.50223370884873,34168917.50000001,0.003177537011525167
'Thank you all so much for all the love for You &amp; I  http://t.co/4ADlrUQdMD',116417,542.68227117929,50871747.92857145,0.0022884411238131633
"""@Louis1DUpdates please be aware all those sites selling that shit are not legit. You'll see the jumper around soon :)""",35474,140.5846716823443,13178591.526315784,0.0026917899328743468
'Rather be is just the sickest song at the moment ! Ha love it !',91277,317.8631138731935,29796905.230769213,0.0030633047054076114
'Good luck running today for Bluebell Wood Sally x @BluebellWoodCH @peachydeaks',57795,125.63836939922176,11777505.545454543,0.004907236067683758
'All proceeds go to the charity so please dig deep :) http://t.co/k48CkSxG9N',50966,308.4551529800432,28914990.6363636,0.0017626151307102611
'Hi everyone @EdenDoraTrust are holding an auction for some tickets to a UK show and a meet and greet ! http://t.co/k48CkSxG9N',43603,305.9097065586694,28676377.149999995,0.0015205198261942934
"""Happy Mother's Day to all of your mothers !! And of course to my lovely mum @JohannahDarling ! Xx""",102904,296.88701842486216,27830578.52941172,0.0036975156621789126
'Love the @5sos single !! Go download it nowwwww!!! http://t.co/2Tpd9REauy ! Well done boys !',69581,173.96957247043312,16308135.916666662,0.004266643370864312
'Very important win today ! We are very lucky to have such a great manager at the club !',71166,298.3011535587756,27963141.41176468,0.0025449930303631397
"""@StanCollymore @talkSPORT Stan let's here a shout out for Donny's win against Wednesday ! Best team in the world !""",18246,207.12241351448503,19415926.722222224,0.0009397439669524916
'\xe2\x80\x9c@FRIEDRICENARRY: @Louis_Tomlinson gonna try to do a cookie sale and donate the proceeds to @EdenDoraTrust #edendoratust  x5\xe2\x80\x9d love that !!',36468,320.0182978107675,29998934.99999996,0.0012156431553320159
'@skinslovato nooooo it does make sense ! Ha',18066,78.52928001496397,7361437.714285711,0.002454140169513472
'@preciousnjh love it !!',16102,228.61998921744717,21431137.666666664,0.0007513366882545185
'#edendoratrust',43915,16.19054579798423,1517723.0,0.028934792448951488
'@sexdollouis @EdenDoraTrust just pictures of any kind of fund raising ! Like a sponsored walk or something ha ! Get creative :)',13122,117.40507957549026,11005706.157894736,0.001192290600143561
"""RT @Marine_Cdx: @Louis_Tomlinson it's really a good cause! #edendoratust @EdenDoraTrust http://t.co/tqbQi27CsU""",8650,126.12347714463523,11822980.181818182,0.0007316260255009386
'Got there in the end ...',78771,331.72852866062055,31096667.399999984,0.0025331010229089706
